timestamp,x,y,type,deltaY
1758901905180,141,573,move,0
1758901905186,143,573,move,0
1758901905194,146,573,move,0
1758901905199,147,573,move,0
1758901905206,149,573,move,0
1758901905212,150,574,move,0
1758901905219,152,574,move,0
1758901905225,154,574,move,0
1758901905231,156,574,move,0
1758901905239,157,574,move,0
1758901905245,159,574,move,0
1758901905251,161,574,move,0
1758901905258,163,574,move,0
1758901905265,164,574,move,0
1758901905274,167,574,move,0
1758901905279,168,574,move,0
1758901905284,171,574,move,0
1758901905290,173,574,move,0
1758901905297,176,574,move,0
1758901905304,178,574,move,0
1758901905313,180,574,move,0
1758901905316,182,574,move,0
1758901905323,184,574,move,0
1758901905330,187,574,move,0
1758901905337,188,574,move,0
1758901905343,191,574,move,0
1758901905350,194,573,move,0
1758901905356,196,573,move,0
1758901905362,197,573,move,0
1758901905369,199,573,move,0
1758901905375,201,573,move,0
1758901905382,202,573,move,0
1758901905389,203,573,move,0
1758901905398,204,573,move,0
1758901905409,205,572,move,0
1758901905414,206,572,move,0
1758901905421,207,572,move,0
1758901905434,208,572,move,0
1758901905447,209,572,move,0
1758901905460,210,572,move,0
1758901905467,211,572,move,0
1758901905480,212,572,move,0
1758901905493,213,572,move,0
1758901905514,214,572,move,0
1758901905521,215,572,move,0
1758901905532,216,572,move,0
1758901905552,217,572,move,0
1758901905565,218,572,move,0
1758901905572,219,572,move,0
1758901905584,221,571,move,0
1758901905598,222,571,move,0
1758901906044,224,571,move,0
1758901906048,227,571,move,0
1758901906054,230,571,move,0
1758901906060,234,571,move,0
1758901906067,237,571,move,0
1758901906073,240,571,move,0
1758901906080,243,571,move,0
1758901906086,246,571,move,0
1758901906094,248,571,move,0
1758901906100,250,571,move,0
1758901906107,252,572,move,0
1758901906112,254,572,move,0
1758901906119,256,572,move,0
1758901906125,258,572,move,0
1758901906132,261,572,move,0
1758901906139,263,572,move,0
1758901906145,266,572,move,0
1758901906153,268,572,move,0
1758901906159,271,572,move,0
1758901906165,274,572,move,0
1758901906172,276,572,move,0
1758901906178,279,572,move,0
1758901906184,282,571,move,0
1758901906191,284,571,move,0
1758901906198,287,571,move,0
1758901906204,289,571,move,0
1758901906211,291,571,move,0
1758901906219,293,571,move,0
1758901906224,294,571,move,0
1758901906230,295,571,move,0
1758901906236,297,571,move,0
1758901906243,298,571,move,0
1758901906250,299,571,move,0
1758901906256,300,571,move,0
1758901906262,301,571,move,0
1758901906270,302,571,move,0
1758901906277,303,571,move,0
1758901906283,304,571,move,0
1758901906289,305,571,move,0
1758901906302,306,571,move,0
1758901906309,307,571,move,0
1758901906321,308,571,move,0
1758901906329,309,571,move,0
1758901906335,310,571,move,0
1758901906347,311,571,move,0
1758901906354,312,571,move,0
1758901906361,313,571,move,0
1758901906367,314,571,move,0
1758901906374,315,571,move,0
1758901906381,316,571,move,0
1758901906387,317,571,move,0
1758901906394,318,571,move,0
1758901906400,320,571,move,0
1758901906406,321,570,move,0
1758901906413,322,570,move,0
1758901906420,324,569,move,0
1758901906426,326,569,move,0
1758901906432,328,569,move,0
1758901906439,330,569,move,0
1758901906446,332,568,move,0
1758901906452,334,568,move,0
1758901906459,336,568,move,0
1758901906464,339,568,move,0
1758901906471,341,567,move,0
1758901906478,344,567,move,0
1758901906484,345,566,move,0
1758901906491,348,566,move,0
1758901906510,350,565,move,0
1758901906511,356,564,move,0
1758901906518,358,564,move,0
1758901906524,361,563,move,0
1758901906531,363,563,move,0
1758901906537,365,563,move,0
1758901906544,367,563,move,0
1758901906550,369,562,move,0
1758901906556,372,562,move,0
1758901906563,374,562,move,0
1758901906569,377,561,move,0
1758901906576,379,561,move,0
1758901906582,381,561,move,0
1758901906590,382,561,move,0
1758901906596,385,561,move,0
1758901906609,386,561,move,0
1758901906615,388,562,move,0
1758901906635,389,562,move,0
1758901906641,389,563,move,0
1758901906647,390,563,move,0
1758901906660,391,563,move,0
1758901906793,392,563,move,0
1758901906818,393,563,move,0
1758901906824,393,564,move,0
1758901906830,394,564,move,0
1758901906843,395,565,move,0
1758901906857,396,566,move,0
1758901906871,397,567,move,0
1758901906882,398,567,move,0
1758901906889,398,568,move,0
1758901906895,399,568,move,0
1758901906902,399,569,move,0
1758901906909,400,569,move,0
1758901906922,401,569,move,0
1758901906928,401,570,move,0
1758901906934,401,571,move,0
1758901906941,402,571,move,0
1758901906948,403,572,move,0
1758901906961,404,572,move,0
1758901906967,404,573,move,0
1758901906981,405,574,move,0
1758901906987,406,575,move,0
1758901906993,407,575,move,0
1758901907000,407,576,move,0
1758901907006,408,576,move,0
1758901907013,409,577,move,0
1758901907019,410,578,move,0
1758901907026,411,578,move,0
1758901907040,413,579,move,0
1758901907052,414,580,move,0
1758901907058,415,581,move,0
1758901907065,416,581,move,0
1758901907071,417,582,move,0
1758901907086,419,583,move,0
1758901907091,420,584,move,0
1758901907097,421,584,move,0
1758901907104,421,585,move,0
1758901907111,422,585,move,0
1758901907117,423,585,move,0
1758901907124,424,585,move,0
1758901907137,425,586,move,0
1758901907145,425,587,move,0
1758901907150,426,587,move,0
1758901907157,427,587,move,0
1758901907169,428,588,move,0
1758901907183,430,588,move,0
1758901907196,431,589,move,0
1758901907202,431,590,move,0
1758901907212,433,590,move,0
1758901907216,433,591,move,0
1758901907221,434,591,move,0
1758901907235,435,591,move,0
1758901907241,436,592,move,0
1758901907248,437,592,move,0
1758901907254,437,593,move,0
1758901907262,438,594,move,0
1758901907274,439,595,move,0
1758901907286,440,595,move,0
1758901907294,441,597,move,0
1758901907306,442,598,move,0
1758901907319,443,599,move,0
1758901907333,444,601,move,0
1758901907339,445,601,move,0
1758901907345,446,601,move,0
1758901907351,446,602,move,0
1758901907358,447,602,move,0
1758901907365,447,603,move,0
1758901907371,447,604,move,0
1758901907392,448,604,move,0
1758901907424,448,605,move,0
1758901907430,449,605,move,0
1758901907444,449,606,move,0
1758901907458,450,608,move,0
1758901907948,449,608,move,0
1758901907952,447,607,move,0
1758901907959,446,606,move,0
1758901907966,444,605,move,0
1758901907973,442,605,move,0
1758901907979,440,604,move,0
1758901907985,439,603,move,0
1758901907992,437,603,move,0
1758901907998,436,602,move,0
1758901908011,434,601,move,0
1758901908025,433,601,move,0
1758901908037,432,601,move,0
1758901908043,431,600,move,0
1758901908056,430,600,move,0
1758901908077,430,599,move,0
1758901908679,430,599,down,0
1758901908847,430,599,up,0
1758901909382,430,599,wheel,1
1758901909409,430,599,wheel,66
1758901909425,430,599,wheel,74
1758901909443,430,599,wheel,45
1758901909459,430,599,wheel,51
1758901909475,430,599,wheel,35
1758901909492,430,599,wheel,18
1758901909509,430,599,wheel,23
1758901909525,430,599,wheel,16
1758901909542,430,599,wheel,24
1758901909559,430,599,wheel,15
1758901909575,430,599,wheel,18
1758901909592,430,599,wheel,10
1758901909608,430,599,wheel,10
1758901909625,430,599,wheel,8
